"Rank","Source Title","CiteScore","Percentile"
"1","Nature Sustainability","30.7","99"
"2","Conservation Letters","18.7","99"
"3","Current Environmental Health Reports","14.8","98"
"4","Landscape and Urban Planning","12.7","98"
"5","Nature Reviews Earth and Environment","11.8","97"
"6","Ecosystem Services","11.7","97"
"7","Current Forestry Reports","11.2","96"
"8","Sustainability Science","11.0","96"
"9","Conservation Biology","10.5","95"
"10","International Soil and Water Conservation Research","10.1","95"
"11","Biological Conservation","9.9","94"
"12","Remote Sensing in Ecology and Conservation","9.9","94"
"13","Land Use Policy","9.9","93"
"14","Geology, Ecology, and Landscapes","8.0","92"
"15","Metabarcoding and Metagenomics","7.9","92"
"16","Journal of the Association of Environmental and Resource Economists","7.8","91"
"17","Ecological Engineering","7.7","91"
"18","Geography and Sustainability","7.4","90"
"19","Perspectives in Ecology and Conservation","7.2","90"
"20","Ecological Engineering: X","7.1","89"
"21","One Ecosystem","7.0","89"
"22","Resources","6.4","88"
"23","Landscape Ecology","6.3","88"
"24","Zoological research","6.2","87"
"25","Wildlife Monographs","6.2","87"
"26","Forest Ecology and Management","6.2","86"
"27","Animal Conservation","5.9","86"
"28","Ecosystems and People","5.8","85"
"29","International Journal of Tourism Research","5.7","85"
"30","Restoration Ecology","5.7","84"
"31","Biodiversity and Conservation","5.7","84"
"32","Forest Ecosystems","5.5","83"
"33","Environment and Society: Advances in Research","5.4","83"
"34","Environment and Planning B: Urban Analytics and City Science","5.2","82"
"35","Conservation and Society","5.1","82"
"36","Journal of Tourism Futures","5.1","81"
"37","Applied Vegetation Science","5.1","80"
"38","Geoheritage","4.7","80"
"39","Oryx","4.6","79"
"40","Nature Conservation","4.5","79"
"41","Global Ecology and Conservation","4.5","78"
"42","Journal of Mammalogy","4.5","78"
"43","Environmental Conservation","4.5","77"
"44","Endangered Species Research","4.4","77"
"45","Journal of Wildlife Management","4.4","76"
"46","Conservation Physiology","4.4","76"
"47","Ecology and Evolution","4.4","75"
"48","Environmental Geotechnics","4.4","75"
"49","Aquatic Conservation: Marine and Freshwater Ecosystems","4.3","74"
"50","Bird Conservation International","4.3","74"
"51","Journal of Soils and Water Conservation","4.2","73"
"52","Journal for Nature Conservation","4.2","73"
"53","Journal of Coastal Conservation","3.9","72"
"54","Anthropocene Coasts","3.9","72"
"55","Rangeland Ecology and Management","3.9","71"
"56","Area Development and Policy","3.9","71"
"57","Journal of Insect Conservation","3.9","70"
"58","Landscape Research","3.7","70"
"59","Tropical Conservation Science","3.6","69"
"60","Frontiers in Forests and Global Change","3.6","69"
"61","Human Dimensions of Wildlife","3.6","68"
"62","Journal of Mountain Science","3.5","67"
"63","Forest and Society","3.5","67"
"64","Knowledge and Management of Aquatic Ecosystems","3.2","66"
"65","Land","3.2","66"
"66","International Zoo Yearbook","3.2","65"
"67","IForest","3.2","65"
"68","European Journal of Wildlife Research","3.1","64"
"69","Landscape and Ecological Engineering","3.1","64"
"70","Parks","3.1","63"
"71","Natural Resource Management and Policy","3.0","63"
"72","Fisheries","3.0","62"
"73","Journal of Tourism and Cultural Change","3.0","62"
"74","Acta Oecologica","3.0","61"
"75","Nature Conservation Research","2.9","61"
"76","Diversity","2.9","60"
"77","Ecological Management and Restoration","2.8","60"
"78","Mires and Peat","2.6","59"
"79","International Journal of Geoheritage and Parks","2.5","59"
"80","European Countryside","2.5","58"
"81","Pacific Conservation Biology","2.5","58"
"82","Aquatic Mammals","2.4","57"
"83","Tuexenia","2.4","57"
"84","Emu","2.3","56"
"85","Journal of Landscape Ecology(Czech Republic)","2.3","55"
"86","Human-Wildlife Interactions","2.3","55"
"87","CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources","2.3","54"
"88","Avian Conservation and Ecology","2.3","54"
"89","Wildlife Biology","2.3","53"
"90","Wildlife Society Bulletin","2.2","53"
"91","Subterranean Biology","2.1","52"
"92","Amphibian and Reptile Conservation","2.0","52"
"93","Journal of Environmental Engineering and Landscape Management","2.0","51"
"94","Animal Biodiversity and Conservation","2.0","51"
"95","Biodiversity","2.0","50"
"96","Ethnobiology and Conservation","2.0","50"
"97","Herpetological Journal","1.9","49"
"98","Landscape Online","1.9","49"
"99","Journal of Green Building","1.9","48"
"100","Bird Study","1.8","48"
"101","Annales Zoologici Fennici","1.8","47"
"102","Aestimum","1.8","47"
"103","Conservation Science and Practice","1.8","46"
"104","Biodiversity Science","1.8","46"
"105","Journal of Design and Built Environment","1.6","45"
"106","Journal of Agro-Environment Science","1.6","45"
"107","Austrian Journal of Forest Science","1.6","44"
"108","Challenges in Sustainability","1.6","43"
"108","Rural Landscapes","1.6","43"
"110","Ethnobotany Research and Applications","1.5","42"
"111","Wildfowl","1.5","42"
"112","Pirineos","1.5","41"
"113","Natural Areas Journal","1.5","41"
"114","Coastal Research Library","1.4","40"
"115","European Journal of Environmental Sciences","1.4","40"
"116","Ursus","1.4","39"
"117","GeoScape","1.4","39"
"118","Journal of Fish and Wildlife Management","1.4","38"
"119","Conservation Evidence","1.4","38"
"120","Environmental and Socio-Economic Studies","1.4","37"
"121","Ecological Restoration","1.4","37"
"122","International Journal of Forestry Research","1.3","36"
"123","Eco.mont","1.3","36"
"124","Primate Conservation","1.2","35"
"125","Raptor Journal","1.2","35"
"126","Colombia Forestal","1.1","34"
"127","Neotropical Biology and Conservation","1.1","34"
"128","Agriculture and Forestry","1.1","33"
"129","Acta Prataculturae Sinica","1.0","33"
"130","International Journal of Conservation Science","1.0","32"
"131","Natur und Landschaft","1.0","32"
"132","Journal of Rangeland Science","1.0","31"
"133","Journal of Digital Landscape Architecture","1.0","30"
"134","Journal of Environmental Protection and Ecology","1.0","30"
"135","Journal of New Zealand Grasslands","0.9","29"
"136","e-Review of Tourism Research","0.9","29"
"137","Progress in Geography","0.9","28"
"138","Journal of the Bombay Natural History Society","0.9","28"
"139","Journal of Degraded and Mining Lands Management","0.9","27"
"140","Journal of Sustainable Real Estate","0.8","27"
"141","Landscapes (United Kingdom)","0.8","26"
"142","Landscape History","0.8","26"
"143","Journal of Threatened Taxa","0.8","25"
"144","Journal of Park and Recreation Administration","0.8","25"
"145","Floresta","0.8","24"
"146","Acta Biologica Sibirica","0.8","24"
"147","Cuadernos de Turismo","0.7","23"
"148","World Agriculture","0.7","23"
"149","Agraarteadus","0.7","22"
"149","Revista de Urbanismo","0.7","22"
"151","Zpravy Lesnickeho Vyzkumu","0.7","21"
"152","Journal of Marine and Island Cultures","0.7","21"
"153","Landscape Journal","0.6","20"
"154","Malayan Nature Journal","0.6","20"
"155","Biota Colombiana","0.6","19"
"156","Asian Journal of Conservation Biology","0.6","19"
"157","Alam Cipta","0.6","18"
"158","Forestry Ideas","0.6","17"
"158","Sylvia","0.6","17"
"160","Russian Journal of Forest Science","0.6","16"
"161","Landscape Architecture and Art","0.5","16"
"162","Environment and Ecology Research","0.5","15"
"163","Change Over Time","0.5","15"
"164","Sociologia Urbana e Rurale","0.4","14"
"165","Springer Geography","0.4","14"
"166","Asia-Pacific Journal of Innovation in Hospitality and Tourism","0.4","13"
"167","Acta Scientiarum Polonorum, Administratio Locorum","0.4","13"
"168","Journal of People, Plants, and Environment","0.4","12"
"169","ArchiDOCT","0.4","12"
"170","Journal of Landscape Ecology","0.4","11"
"171","Silva Gabreta","0.4","11"
"172","Ecologia Balkanica","0.4","10"
"172","Neilreichia","0.4","10"
"174","Changjiang Liuyu Ziyuan Yu Huanjing/Resources and Environment in the Yangtze Valley","0.3","9"
"175","Advances in Asian Human-Environmental Research","0.3","9"
"176","Landschap","0.3","8"
"177","Landscapes","0.3","8"
"178","Ri-Vista","0.3","7"
"179","Nakhara: Journal of Environmental Design and Planning","0.3","7"
"180","British Wildlife","0.2","6"
"181","Studies in the History of Gardens and Designed Landscapes","0.2","5"
"182","Acta Geographica Universitatis Comenianae","0.1","5"
"183","Atelie Geografico","0.1","4"
"184","Banko Janakari","0.1","4"
"185","Sustainable Mediterranean Construction","0.1","3"
"186","Architecture and Urban Planning","0.1","3"
"187","Journal of Nanjing Forestry University (Natural Sciences Edition)","0.1","2"
"188","Ecology, Economy and Society","0.1","2"
"189","Revista Mexicana de Ciencias Forestales","0.1","1"
"190","Folia Malacologica","0.0","0"
"190","Ochrona Zabytkow","0.0","0"
"190","Staleta Praha","0.0","0"
